Event	ID	Name			Wwise Object Path	Notes
	88712019	Flashlight_Break			\Default Work Unit\Player\Flashlight_Break	
	103142110	Flashlight_Toggle			\Default Work Unit\Player\Flashlight_Toggle	
	197586729	Play_InGameMusic_Pause			\Default Work Unit\Music\Play_InGameMusic_Pause	
	447414835	Small_Enemy_Footsteps			\Default Work Unit\Enemies\Small Enemy\Small_Enemy_Footsteps	
	452547817	Stop_All			\Default Work Unit\Stop_All	
	517805850	Small_Enemy_Attack			\Default Work Unit\Enemies\Small Enemy\Small_Enemy_Attack	
	655777854	Crying_Girl			\Default Work Unit\Enemies\Crying_Girl	
	816370673	GameOver_Music			\Default Work Unit\Music\GameOver_Music	
	871813740	Player_Hit			\Default Work Unit\Player\Player_Hit	
	884037492	Sewer_Ambience			\Default Work Unit\Ambience\Level_01\Sewer_Ambience	
	921611381	Wave_Change			\Default Work Unit\Stingers\Wave_Change	
	1371319734	Out_Of_Ammo			\Default Work Unit\Player\Out_Of_Ammo	
	1432716332	Game_Over			\Default Work Unit\Stingers\Game_Over	
	1520976743	Large_Enemy_Footsteps			\Default Work Unit\Enemies\Large Enemy\Large_Enemy_Footsteps	
	1730208058	Player_Footsteps			\Default Work Unit\Player\Player_Footsteps	
	1975887235	Secret_Door_Open			\Default Work Unit\Stingers\Secret_Door_Open	
	2088343134	Large_Enemy_Grunts_Stop			\Default Work Unit\Enemies\Large Enemy\Large_Enemy_Grunts_Stop	
	2227957873	Rats			\Default Work Unit\Ambience\Rats	
	2234746274	Spawn_Sound			\Default Work Unit\Enemies\Spawn_Sound	
	2385984939	FlashLight_Brighten			\Default Work Unit\Player\FlashLight_Brighten	
	2465880979	Large_Enemy_Grunts			\Default Work Unit\Enemies\Large Enemy\Large_Enemy_Grunts	
	2602049768	Healing_Light			\Default Work Unit\Healing_Light	
	2737219330	Wind_Ambience			\Default Work Unit\Ambience\Main_Menu\Wind_Ambience	
	2855972596	UI_Hover_Sound			\Default Work Unit\UI\UI_Hover_Sound	
	2975941020	Large_Enemy_Death			\Default Work Unit\Enemies\Large Enemy\Large_Enemy_Death	
	3230452249	Small_Enemy_Laugh			\Default Work Unit\Enemies\Small Enemy\Small_Enemy_Laugh	
	3306210749	Play_Main_Menu			\Default Work Unit\Music\Play_Main_Menu	
	3395647519	Player_Vocal_Cues			\Default Work Unit\Player\Player_Vocal_Cues	
	3498111913	Gun_Shoot			\Default Work Unit\Player\Gun_Shoot	
	3561417964	Small_Enemy_Laugh_Stop			\Default Work Unit\Enemies\Small Enemy\Small_Enemy_Laugh_Stop	
	3762008648	Play_InGameMusic_Resume			\Default Work Unit\Music\Play_InGameMusic_Resume	
	3799629626	Play_InGameMusic			\Default Work Unit\Music\Play_InGameMusic	
	3897667184	Small_Enemy_Death			\Default Work Unit\Enemies\Small Enemy\Small_Enemy_Death	
	4250807398	Large_Enemy_Attack			\Default Work Unit\Enemies\Large Enemy\Large_Enemy_Attack	
	4253579710	Ammo_Pickup			\Default Work Unit\Interactables\Ammo_Pickup	
	4262893814	Crow_Caw			\Default Work Unit\Ambience\Main_Menu\Crow_Caw	

State Group	ID	Name			Wwise Object Path	Notes
	1852808225	Playing			\Default Work Unit\Playing	

State	ID	Name	State Group			Notes
	748895195	None	Playing			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1240670792	Distance			\Default Work Unit\Distance	
	2468440487	Sound_Fade			\Default Work Unit\Sound_Fade	
	2788398400	HealingLight_Fade			\Default Work Unit\HealingLight_Fade	

Effect plug-ins	ID	Name	Type				Notes
	415841907	Space_Garage	Wwise RoomVerb			
	753631227	Sewer_Verb	Wwise RoomVerb			
	1169110113	New_Wwise_Compressor	Wwise Compressor			
	2689776681	New_Wwise_Parametric_EQ_01	Wwise Parametric EQ			
	2689776682	New_Wwise_Parametric_EQ_02	Wwise Parametric EQ			
	2975941020	Large_Enemy_Death	Wwise Parametric EQ			
	3038837519	Large_Enemy	Wwise RoomVerb			
	3897667184	Small_Enemy_Death	Wwise Parametric EQ			
	3900114836	Metal_Hangar	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	5294680	Wind_Ambience_Loop	C:\Users\Connor Lee\DownLight\DownLight_WwiseProject\.cache\iOS\SFX\Wind_Ambience_Loop_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiences\Wind_Ambience_Loop		16693544
	10200255	Flashlight_OnClick_Final_02	C:\Users\Connor Lee\DownLight\DownLight_WwiseProject\.cache\iOS\SFX\Flashlight_OnClick_Final_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Flashlight_Toggle\Flashlight_OnClick_Final_02		3458
	34169155	SmallEnemy_Death_Main_02	C:\Users\Connor Lee\DownLight\DownLight_WwiseProject\.cache\iOS\SFX\SmallEnemy_Death_Main_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Small_Enemy\Small_Enemy_Death\Small_Enemy_Death_Main\SmallEnemy_Death_Main_02		396448
	44963678	PlayerFootsteps_Cloth_03	C:\Users\Connor Lee\DownLight\DownLight_WwiseProject\.cache\iOS\SFX\PlayerFootsteps_Cloth_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Player_Footsteps\Player_Footsteps_Cloth\PlayerFootsteps_Cloth_03		83200
	58344488	LargeEnemy_Death_T1	C:\Users\Connor Lee\DownLight\DownLight_WwiseProject\.cache\iOS\SFX\LargeEnemy_Death_T1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Large_Enemy\LargeEnemy_Death_T1		265376
	59913664	PlayerFootsteps_Cloth_01	C:\Users\Connor Lee\DownLight\DownLight_WwiseProject\.cache\iOS\SFX\PlayerFootsteps_Cloth_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Player_Footsteps\Player_Footsteps_Cloth\PlayerFootsteps_Cloth_01		63356
	61167422	Small_Enemy_Attack_Main_01	C:\Users\Connor Lee\DownLight\DownLight_WwiseProject\.cache\iOS\SFX\Small_Enemy_Attack_Main_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Small_Enemy\Small_Enemy_Attack\Small_Enemy_Attack_Main_01		162312
	67396298	UI_Breath_Part_03	C:\Users\Connor Lee\DownLight\DownLight_WwiseProject\.cache\iOS\SFX\UI_Breath_Part_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\UI_Breath_Sound\UI_Breath_Part_03		436924
	73555761	SmallEnemy_Footsteps_F_02	C:\Users\Connor Lee\DownLight\DownLight_WwiseProject\.cache\iOS\SFX\SmallEnemy_Footsteps_F_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Small_Enemy\Small_Enemy_Footsteps\SmallEnemy_Footsteps_F_02		71416
